year,mean,unc,,,,,
1850,285.2,0.6,,,,,
1851,285.1,0.6,,,,,
1852,285,0.6,,,,,
1853,285,0.6,,,,,
1854,284.9,0.6,,,,,
1855,285.1,0.6,,,,,
1856,285.4,0.6,,,,,
1857,285.6,0.6,,,,,
1858,285.9,0.6,,,,,
1859,286.1,0.6,,,,,
1860,286.4,0.6,,,,,
1861,286.6,0.6,,,,,
1862,286.7,0.6,,,,,
1863,286.8,0.6,,,,,
1864,286.9,0.6,,,,,
1865,287.1,0.6,,,,,
1866,287.2,0.6,,,,,
1867,287.3,0.6,,,,,
1868,287.4,0.6,,,,,
1869,287.5,0.6,,,,,
1870,287.7,0.6,,,,,
1871,287.9,0.6,,,,,
1872,288,0.6,,,,,
1873,288.2,0.6,,,,,
1874,288.4,0.6,,,,,
1875,288.6,0.6,,,,,
1876,288.7,0.6,,,,,
1877,288.9,0.6,,,,,
1878,289.5,0.6,,,,,
1879,290.1,0.6,,,,,
1880,290.8,0.6,,,,,
1881,291.4,0.6,,,,,
1882,292,0.6,,,,,
1883,292.5,0.6,,,,,
1884,292.9,0.6,,,,,
1885,293.3,0.6,,,,,
1886,293.8,0.6,,,,,
1887,294,0.6,,,,,
1888,294.1,0.6,,,,,
1889,294.2,0.6,,,,,
1890,294.4,0.6,,,,,
1891,294.6,0.6,,,,,
1892,294.8,0.6,,,,,
1893,294.7,0.6,,,,,
1894,294.8,0.6,,,,,
1895,294.8,0.6,,,,,
1896,294.9,0.6,,,,,
1897,294.9,0.6,,,,,
1898,294.9,0.6,,,,,
1899,295.3,0.6,,,,,
1900,295.7,0.6,,,,,
1901,296.2,0.6,,,,,
1902,296.6,0.6,,,,,
1903,297,0.6,,,,,
1904,297.5,0.6,,,,,
1905,298,0.6,,,,,
1906,298.4,0.6,,,,,
1907,298.8,0.6,,,,,
1908,299.3,0.6,,,,,
1909,299.7,0.6,,,,,
1910,300.1,0.6,,,,,
1911,300.6,0.6,,,,,
1912,301,0.6,,,,,
1913,301.3,0.6,,,,,
1914,301.4,0.6,,,,,
1915,301.6,0.6,,,,,
1916,302,0.6,,,,,
1917,302.4,0.6,,,,,
1918,302.8,0.6,,,,,
1919,303,0.6,,,,,
1920,303.4,0.6,,,,,
1921,303.7,0.6,,,,,
1922,304.1,0.6,,,,,
1923,304.5,0.6,,,,,
1924,304.9,0.6,,,,,
1925,305.3,0.6,,,,,
1926,305.8,0.6,,,,,
1927,306.2,0.6,,,,,
1928,306.6,0.6,,,,,
1929,307.2,0.6,,,,,
1930,307.5,0.6,,,,,
1931,308,0.6,,,,,
1932,308.3,0.6,,,,,
1933,308.9,0.6,,,,,
1934,309.3,0.6,,,,,
1935,309.7,0.6,,,,,
1936,310.1,0.6,,,,,
1937,310.6,0.6,,,,,
1938,311,0.6,,,,,
1939,311.2,0.6,,,,,
1940,311.3,0.6,,,,,
1941,311,0.6,,,,,
1942,310.7,0.6,,,,,
1943,310.5,0.6,,,,,
1944,310.2,0.6,,,,,
1945,310.3,0.6,,,,,
1946,310.3,0.6,,,,,
1947,310.4,0.6,,,,,
1948,310.5,0.6,,,,,
1949,310.9,0.6,,,,,
1950,311.3,0.6,,,,,
1951,311.8,0.6,,,,,
1952,312.2,0.6,,,,,
1953,312.6,0.6,,,,,
1954,313.2,0.6,,,,,
1955,313.7,0.6,,,,,
1956,314.3,0.6,,,,,
1957,314.8,0.6,,,,,
1958,315.34,0.6,,,,,
1959,315.98,0.12,,,,,
1960,316.91,0.12,,,,,
1961,317.64,0.12,,,,,
1962,318.45,0.12,,,,,
1963,318.99,0.12,,,,,
1964,319.62,0.12,,,,,
1965,320.04,0.12,,,,,
1966,321.37,0.12,,,,,
1967,322.18,0.12,,,,,
1968,323.05,0.12,,,,,
1969,324.62,0.12,,,,,
1970,325.68,0.12,,,,,
1971,326.32,0.12,,,,,
1972,327.46,0.12,,,,,
1973,329.68,0.12,,,,,
1974,330.19,0.12,,,,,
1975,331.13,0.12,,,,,
1976,332.03,0.12,,,,,
1977,333.84,0.12,,,,,
1978,335.41,0.12,,,,,
1979,336.84,0.12,,,,,
1980,338.76,0.12,,,,,
1981,340.12,0.12,,,,,
1982,341.48,0.12,,,,,
1983,343.15,0.12,,,,,
1984,344.87,0.12,,,,,
1985,346.35,0.12,,,,,
1986,347.61,0.12,,,,,
1987,349.31,0.12,,,,,
1988,351.69,0.12,,,,,
1989,353.2,0.12,,,,,
1990,354.45,0.12,,,,,
1991,355.7,0.12,,,,,
1992,356.54,0.12,,,,,
1993,357.21,0.12,,,,,
1994,358.96,0.12,,,,,
1995,360.97,0.12,,,,,
1996,362.74,0.12,,,,,
1997,363.88,0.12,,,,,
1998,366.84,0.12,,,,,
1999,368.54,0.12,,,,,
2000,369.71,0.12,,,,,
2001,371.32,0.12,,,,,
2002,373.45,0.12,,,,,
2003,375.98,0.12,,,,,
2004,377.7,0.12,,,,,
2005,379.98,0.12,,,,,
2006,382.09,0.12,,,,,
2007,384.02,0.12,,,,,
2008,385.83,0.12,,,,,
2009,387.64,0.12,,,,,
2010,390.1,0.12,,,,,
2011,391.85,0.12,,,,,
2012,394.06,0.12,,,,,
2013,396.74,0.12,,,,,
2014,398.81,0.12,,,,,
2015,401.01,0.12,,,,,
2016,404.41,0.12,,,,,
2017,406.76,0.12,,,,,
2018,408.72,0.12,,,,,
2019,411.65,0.12,,,,,
2020,414.21,0.12,,,,,
2021,416.41,0.12,,,,,
2022,418.53,0.12,,,,,
2023,421.08,0.12,,,,,
2024,424.61,0.12,,,,,